MaNV,NgayThang,Nam,PhongBan,ChucDanh,ThucTeNghiViec,XacSuatNghiViec,DuDoanNghiViec,NguongDuDoan
1,2025-01-01,2025,Sales,Sales Representative,0,0.21639344262295082,1,0.2
3,2025-01-01,2025,Finance,Finance Manager,0,0.1956521739130435,0,0.2
4,2025-01-01,2025,Human Resources,Recruiter,0,0.12827225130890052,0,0.2
5,2025-01-01,2025,Information Technology,IT Support,0,0.0935672514619883,0,0.2
10,2025-01-01,2025,Human Resources,C&B Specialist,1,0.13513513513513514,0,0.2
13,2025-01-01,2025,Sales,Sales Executive,1,0.3035143769968051,1,0.2
21,2025-01-01,2025,Human Resources,Recruiter,0,0.40318302387267907,1,0.2
24,2025-01-01,2025,Sales,Sales Representative,1,0.21639344262295082,1,0.2
28,2025-01-01,2025,Human Resources,C&B Specialist,1,0.11397627643115008,0,0.2
29,2025-01-01,2025,Human Resources,Recruiter,1,0.13513513513513514,0,0.2
30,2025-01-01,2025,Operations,Procurement Specialist,0,0.12827225130890052,0,0.2
31,2025-01-01,2025,Sales,Sales Supervisor,0,0.12827225130890052,0,0.2
32,2025-01-01,2025,Finance,Finance Manager,0,0.05102040816326531,0,0.2
37,2025-01-01,2025,Information Technology,QA Engineer,1,0.2608695652173913,1,0.2
38,2025-01-01,2025,Human Resources,HR Executive,0,0.12382739212007504,0,0.2
39,2025-01-01,2025,Human Resources,C&B Specialist,0,0.05102040816326531,0,0.2
41,2025-01-01,2025,Sales,Account Manager,1,0.21052631578947367,1,0.2
43,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.1956521739130435,0,0.2
44,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.03574033552151714,0,0.2
48,2025-01-01,2025,Information Technology,QA Engineer,0,0.1610337972166998,0,0.2
54,2025-01-01,2025,Marketing,Marketing Executive,0,0.03574033552151714,0,0.2
60,2025-01-01,2025,Finance,Internal Auditor,0,0.05102040816326531,0,0.2
62,2025-01-01,2025,Finance,Financial Analyst,0,0.0935672514619883,0,0.2
63,2025-01-01,2025,Information Technology,Data Analyst,0,0.05102040816326531,0,0.2
64,2025-01-01,2025,Marketing,Marketing Executive,0,0.03574033552151714,0,0.2
65,2025-01-01,2025,Finance,Internal Auditor,0,0.3035143769968051,1,0.2
66,2025-01-01,2025,Information Technology,IT Support,0,0.13513513513513514,0,0.2
70,2025-01-01,2025,Operations,Operations Executive,0,0.05102040816326531,0,0.2
71,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.1610337972166998,0,0.2
72,2025-01-01,2025,Information Technology,IT Support,0,0.15187376725838264,0,0.2
73,2025-01-01,2025,Sales,Sales Representative,1,0.5116959064327485,1,0.2
74,2025-01-01,2025,Human Resources,Recruiter,1,0.06978233034571063,0,0.2
76,2025-01-01,2025,Sales,Sales Representative,0,0.11397627643115008,0,0.2
78,2025-01-01,2025,Human Resources,C&B Specialist,0,0.15187376725838264,0,0.2
79,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.15187376725838264,0,0.2
80,2025-01-01,2025,Information Technology,Data Analyst,0,0.07101167315175097,0,0.2
82,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.13513513513513514,0,0.2
83,2025-01-01,2025,Operations,Operations Executive,1,0.24242424242424243,1,0.2
85,2025-01-01,2025,Finance,Financial Analyst,0,0.32432432432432434,1,0.2
88,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.2288135593220339,1,0.2
91,2025-01-01,2025,Sales,Sales Executive,1,0.0681453768038482,0,0.2
92,2025-01-01,2025,Operations,Operations Executive,1,0.42701525054466233,1,0.2
95,2025-01-01,2025,Finance,Financial Analyst,0,0.12382739212007504,0,0.2
98,2025-01-01,2025,Information Technology,IT Support,0,0.13513513513513514,0,0.2
102,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.29411764705882354,1,0.2
103,2025-01-01,2025,Finance,Internal Auditor,0,0.0681453768038482,0,0.2
104,2025-01-01,2025,Human Resources,HR Manager,0,0.0681453768038482,0,0.2
109,2025-01-01,2025,Information Technology,Software Engineer,0,0.22927879440258342,1,0.2
110,2025-01-01,2025,Marketing,Content Specialist,0,0.22927879440258342,1,0.2
115,2025-01-01,2025,Human Resources,C&B Specialist,0,0.06978233034571063,0,0.2
118,2025-01-01,2025,Information Technology,Software Engineer,0,0.32432432432432434,1,0.2
120,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.15979381443298968,0,0.2
121,2025-01-01,2025,Human Resources,HR Manager,1,0.0681453768038482,0,0.2
125,2025-01-01,2025,Finance,Internal Auditor,0,0.40318302387267907,1,0.2
126,2025-01-01,2025,Marketing,Marketing Executive,0,0.1986970684039088,0,0.2
127,2025-01-01,2025,Finance,Finance Manager,0,0.13513513513513514,0,0.2
128,2025-01-01,2025,Finance,Accountant,0,0.2163265306122449,1,0.2
129,2025-01-01,2025,Sales,Account Manager,0,0.0681453768038482,0,0.2
130,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.16176470588235295,0,0.2
131,2025-01-01,2025,Sales,Sales Executive,0,0.0681453768038482,0,0.2
136,2025-01-01,2025,Sales,Sales Executive,0,0.05102040816326531,0,0.2
138,2025-01-01,2025,Sales,Sales Executive,0,0.0681453768038482,0,0.2
139,2025-01-01,2025,Sales,Sales Representative,0,0.0935672514619883,0,0.2
140,2025-01-01,2025,Human Resources,HR Executive,0,0.1179245283018868,0,0.2
143,2025-01-01,2025,Operations,Procurement Specialist,0,0.11397627643115008,0,0.2
146,2025-01-01,2025,Finance,Internal Auditor,0,0.2777777777777778,1,0.2
149,2025-01-01,2025,Human Resources,Recruiter,0,0.0681453768038482,0,0.2
151,2025-01-01,2025,Information Technology,Software Engineer,0,0.05102040816326531,0,0.2
152,2025-01-01,2025,Human Resources,HR Manager,0,0.0681453768038482,0,0.2
153,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.40318302387267907,1,0.2
158,2025-01-01,2025,Information Technology,Data Analyst,0,0.0681453768038482,0,0.2
161,2025-01-01,2025,Sales,Sales Representative,1,0.0681453768038482,0,0.2
162,2025-01-01,2025,Marketing,Content Specialist,0,0.13513513513513514,0,0.2
166,2025-01-01,2025,Information Technology,QA Engineer,0,0.2163265306122449,1,0.2
167,2025-01-01,2025,Marketing,Digital Marketing Specialist,1,0.06978233034571063,0,0.2
170,2025-01-01,2025,Operations,Procurement Specialist,0,0.0681453768038482,0,0.2
171,2025-01-01,2025,Sales,Sales Representative,0,0.11397627643115008,0,0.2
175,2025-01-01,2025,Information Technology,Data Analyst,0,0.07101167315175097,0,0.2
176,2025-01-01,2025,Information Technology,Software Engineer,0,0.1179245283018868,0,0.2
178,2025-01-01,2025,Sales,Sales Supervisor,0,0.12382739212007504,0,0.2
180,2025-01-01,2025,Marketing,Marketing Manager,0,0.03574033552151714,0,0.2
181,2025-01-01,2025,Information Technology,IT Support,0,0.03816793893129771,0,0.2
182,2025-01-01,2025,Sales,Sales Supervisor,0,0.1610337972166998,0,0.2
184,2025-01-01,2025,Marketing,Content Specialist,0,0.03574033552151714,0,0.2
185,2025-01-01,2025,Marketing,Content Specialist,0,0.11397627643115008,0,0.2
