Feature,Importance
LamThemGio,0.4181041638181942
DiemHaiLongCongViec,0.17917314940959583
SoGioTrungBinhThang,0.14601588529462917
DiemHaiLongMoiTruong,0.09306131311958037
SoNamTuLanThangChucCuoi,0.0646703263697935
SoLuongDuAn,0.030019849240917523
KhoangCachTuNha,0.019992743287739263
SoNamTaiCongTy,0.013552751969475547
ThuNhapThang,0.012776778124659806
Tuoi,0.008450821815781407
PhongBan_Operations,0.004803059650179719
ChucDanh_Sales Supervisor,0.003146224075796683
ChucDanh_Content Specialist,0.002326434619243367
PhongBan_Marketing,0.001410583701636095
ChucDanh_Finance Manager,0.0013783320508925707
DuocThangChucNamTruoc,0.0011175834518849584
CapBacCongViec,0.0
DiemDanhGiaHieuSuat,0.0
PhongBan_Information Technology,0.0
PhongBan_Human Resources,0.0
ChucDanh_Account Manager,0.0
PhongBan_Sales,0.0
ChucDanh_C&B Specialist,0.0
ChucDanh_Accountant,0.0
ChucDanh_Data Analyst,0.0
ChucDanh_Digital Marketing Specialist,0.0
ChucDanh_Financial Analyst,0.0
PhongBan_Finance,0.0
ChucDanh_HR Executive,0.0
ChucDanh_HR Manager,0.0
ChucDanh_Internal Auditor,0.0
ChucDanh_IT Support,0.0
ChucDanh_Marketing Manager,0.0
ChucDanh_Operations Executive,0.0
ChucDanh_Operations Manager,0.0
ChucDanh_Marketing Executive,0.0
ChucDanh_Procurement Specialist,0.0
ChucDanh_QA Engineer,0.0
ChucDanh_Sales Executive,0.0
ChucDanh_Recruiter,0.0
ChucDanh_Sales Representative,0.0
ChucDanh_Software Engineer,0.0
ChucDanh_System Administrator,0.0
ChucDanh_Warehouse Supervisor,0.0
