MaxDepth,MinSamplesLeaf,Criterion,ClassWeight,ROC_AUC,PR_AUC
3,5,gini,None,0.6895659151769858,0.2651132950677314
3,5,gini,balanced,0.6890583416345768,0.2644405186554204
3,5,entropy,None,0.6895659151769858,0.2651132950677314
3,5,entropy,balanced,0.6890583416345768,0.2644405186554204
3,10,gini,None,0.6895659151769858,0.2651132950677314
3,10,gini,balanced,0.6890583416345768,0.2644405186554204
3,10,entropy,None,0.6895659151769858,0.2651132950677314
3,10,entropy,balanced,0.6890583416345768,0.2644405186554204
3,20,gini,None,0.6895659151769858,0.2651132950677314
3,20,gini,balanced,0.6890583416345768,0.2644405186554204
3,20,entropy,None,0.6895659151769858,0.2651132950677314
3,20,entropy,balanced,0.6890583416345768,0.2644405186554204
3,30,gini,None,0.6895659151769858,0.2651132950677314
3,30,gini,balanced,0.6890583416345768,0.2644405186554204
3,30,entropy,None,0.6895659151769858,0.2651132950677314
3,30,entropy,balanced,0.6890583416345768,0.2644405186554204
3,50,gini,None,0.6895659151769858,0.2651132950677314
3,50,gini,balanced,0.6890583416345768,0.2644405186554204
3,50,entropy,None,0.6895659151769858,0.2651132950677314
3,50,entropy,balanced,0.6890583416345768,0.2644405186554204
4,5,gini,None,0.6965612615246866,0.282746926263892
4,5,gini,balanced,0.6968788563612304,0.28246257278324416
4,5,entropy,None,0.6976532260862238,0.28353476445575115
4,5,entropy,balanced,0.6968788563612304,0.28246257278324416
4,10,gini,None,0.6965612615246866,0.282746926263892
4,10,gini,balanced,0.6968788563612304,0.28246257278324416
4,10,entropy,None,0.6976532260862238,0.28353476445575115
4,10,entropy,balanced,0.6968788563612304,0.28246257278324416
4,20,gini,None,0.6965612615246866,0.282746926263892
4,20,gini,balanced,0.6968788563612304,0.28246257278324416
4,20,entropy,None,0.6976532260862238,0.28353476445575115
4,20,entropy,balanced,0.6968788563612304,0.28246257278324416
4,30,gini,None,0.6965612615246866,0.282746926263892
4,30,gini,balanced,0.6968788563612304,0.28246257278324416
4,30,entropy,None,0.6976532260862238,0.28353476445575115
4,30,entropy,balanced,0.6968788563612304,0.28246257278324416
4,50,gini,None,0.6965612615246866,0.282746926263892
4,50,gini,balanced,0.6968788563612304,0.28246257278324416
4,50,entropy,None,0.6976532260862238,0.28353476445575115
4,50,entropy,balanced,0.6968788563612304,0.28246257278324416
5,5,gini,None,0.7004700733978599,0.29134218057334826
5,5,gini,balanced,0.6966545988888724,0.2880998639797917
5,5,entropy,None,0.6971049723209285,0.28675851712754885
5,5,entropy,balanced,0.6952706453163642,0.2875109529514998
5,10,gini,None,0.7004700733978599,0.29134218057334826
5,10,gini,balanced,0.6966545988888724,0.2880998639797917
5,10,entropy,None,0.697093408399702,0.2860422732158183
5,10,entropy,balanced,0.6952706453163642,0.2875109529514998
5,20,gini,None,0.700239620967702,0.2888828702844881
5,20,gini,balanced,0.6965474261189333,0.28824984718263713
5,20,entropy,None,0.6972123515894609,0.2840119825995998
5,20,entropy,balanced,0.6949511919924801,0.28235020200215055
5,30,gini,None,0.700239620967702,0.2888828702844881
5,30,gini,balanced,0.6963351455649884,0.28293911303044256
