MaNV,NgayThang,PhongBan,ChucDanh,ThucTeNghiViec,DuBaoNghiViec,XacSuatNghiViec,XacSuatNghiViecPct,MucRuiRo,Cluster,TenCum
1,2025-01-01,Sales,Sales Representative,0,0,0.078944169722152,7.89,Thap,2,It tham nien - Khoi luong cong viec thap
3,2025-01-01,Finance,Finance Manager,0,0,0.13295193407657052,13.3,Thap,1,Khoi luong cong viec cao - uu tien giu chan
4,2025-01-01,Human Resources,Recruiter,0,0,0.10730889259739661,10.73,Thap,1,Khoi luong cong viec cao - uu tien giu chan
5,2025-01-01,Information Technology,IT Support,0,0,0.07113176247092935,7.11,Thap,3,Cap bac cao - thu nhap cao
10,2025-01-01,Human Resources,C&B Specialist,1,0,0.11789295525884798,11.79,Thap,3,Cap bac cao - thu nhap cao
13,2025-01-01,Sales,Sales Executive,1,1,0.20790854187707253,20.79,Trung binh,1,Khoi luong cong viec cao - uu tien giu chan
21,2025-01-01,Human Resources,Recruiter,0,1,0.23349143451185023,23.35,Trung binh,3,Cap bac cao - thu nhap cao
24,2025-01-01,Sales,Sales Representative,1,1,0.16120763509970187,16.12,Trung binh,0,Lau nam - thang tien cham
28,2025-01-01,Human Resources,C&B Specialist,1,0,0.10544619414615172,10.54,Thap,2,It tham nien - Khoi luong cong viec thap
29,2025-01-01,Human Resources,Recruiter,1,0,0.09666258869277175,9.67,Thap,0,Lau nam - thang tien cham
30,2025-01-01,Operations,Procurement Specialist,0,1,0.17437559754954746,17.44,Trung binh,1,Khoi luong cong viec cao - uu tien giu chan
31,2025-01-01,Sales,Sales Supervisor,0,1,0.20211009879140912,20.21,Trung binh,1,Khoi luong cong viec cao - uu tien giu chan
32,2025-01-01,Finance,Finance Manager,0,0,0.08629535414092493,8.63,Thap,2,It tham nien - Khoi luong cong viec thap
37,2025-01-01,Information Technology,QA Engineer,1,0,0.15983409256924683,15.98,Thap,3,Cap bac cao - thu nhap cao
38,2025-01-01,Human Resources,HR Executive,0,0,0.12450486291672959,12.45,Thap,2,It tham nien - Khoi luong cong viec thap
39,2025-01-01,Human Resources,C&B Specialist,0,0,0.01818516390309092,1.82,Thap,0,Lau nam - thang tien cham
41,2025-01-01,Sales,Account Manager,1,0,0.13852256874780822,13.85,Thap,0,Lau nam - thang tien cham
43,2025-01-01,Marketing,Digital Marketing Specialist,0,1,0.1784387330389939,17.84,Trung binh,1,Khoi luong cong viec cao - uu tien giu chan
44,2025-01-01,Marketing,Digital Marketing Specialist,0,0,0.03561801367379572,3.56,Thap,2,It tham nien - Khoi luong cong viec thap
48,2025-01-01,Information Technology,QA Engineer,0,1,0.19311395534935413,19.31,Trung binh,2,It tham nien - Khoi luong cong viec thap
54,2025-01-01,Marketing,Marketing Executive,0,0,0.03646282565954529,3.65,Thap,0,Lau nam - thang tien cham
60,2025-01-01,Finance,Internal Auditor,0,0,0.08326513027832705,8.33,Thap,2,It tham nien - Khoi luong cong viec thap
62,2025-01-01,Finance,Financial Analyst,0,0,0.15510429198534623,15.51,Thap,1,Khoi luong cong viec cao - uu tien giu chan
63,2025-01-01,Information Technology,Data Analyst,0,0,0.033766859715915566,3.38,Thap,2,It tham nien - Khoi luong cong viec thap
64,2025-01-01,Marketing,Marketing Executive,0,1,0.18312181889712983,18.31,Trung binh,0,Lau nam - thang tien cham
65,2025-01-01,Finance,Internal Auditor,0,1,0.17576653279772425,17.58,Trung binh,3,Cap bac cao - thu nhap cao
66,2025-01-01,Information Technology,IT Support,0,0,0.07254242108736701,7.25,Thap,2,It tham nien - Khoi luong cong viec thap
70,2025-01-01,Operations,Operations Executive,0,0,0.05601328525134115,5.6,Thap,3,Cap bac cao - thu nhap cao
71,2025-01-01,Operations,Warehouse Supervisor,0,1,0.21703780931684832,21.7,Trung binh,2,It tham nien - Khoi luong cong viec thap
72,2025-01-01,Information Technology,IT Support,0,0,0.14081011063752571,14.08,Thap,3,Cap bac cao - thu nhap cao
73,2025-01-01,Sales,Sales Representative,1,1,0.2352690535762544,23.53,Trung binh,1,Khoi luong cong viec cao - uu tien giu chan
74,2025-01-01,Human Resources,Recruiter,1,0,0.04113647570071675,4.11,Thap,2,It tham nien - Khoi luong cong viec thap
76,2025-01-01,Sales,Sales Representative,0,0,0.05788538087321943,5.79,Thap,0,Lau nam - thang tien cham
78,2025-01-01,Human Resources,C&B Specialist,0,0,0.15082782777250298,15.08,Thap,1,Khoi luong cong viec cao - uu tien giu chan
79,2025-01-01,Marketing,Digital Marketing Specialist,0,1,0.2474234990061932,24.74,Trung binh,0,Lau nam - thang tien cham
80,2025-01-01,Information Technology,Data Analyst,0,0,0.03769173573179124,3.77,Thap,2,It tham nien - Khoi luong cong viec thap
82,2025-01-01,Operations,Warehouse Supervisor,0,1,0.1771804881829587,17.72,Trung binh,0,Lau nam - thang tien cham
83,2025-01-01,Operations,Operations Executive,1,1,0.22291230482563668,22.29,Trung binh,3,Cap bac cao - thu nhap cao
85,2025-01-01,Finance,Financial Analyst,0,1,0.2520019003559353,25.2,Trung binh,1,Khoi luong cong viec cao - uu tien giu chan
88,2025-01-01,Operations,Warehouse Supervisor,0,1,0.19285123279701966,19.29,Trung binh,3,Cap bac cao - thu nhap cao
91,2025-01-01,Sales,Sales Executive,1,0,0.06464678226221844,6.46,Thap,0,Lau nam - thang tien cham
92,2025-01-01,Operations,Operations Executive,1,1,0.35613221565167597,35.61,Cao,0,Lau nam - thang tien cham
95,2025-01-01,Finance,Financial Analyst,0,0,0.07785909832246665,7.79,Thap,2,It tham nien - Khoi luong cong viec thap
98,2025-01-01,Information Technology,IT Support,0,0,0.0380047840856588,3.8,Thap,3,Cap bac cao - thu nhap cao
102,2025-01-01,Marketing,Digital Marketing Specialist,0,1,0.21070364693012675,21.07,Trung binh,1,Khoi luong cong viec cao - uu tien giu chan
103,2025-01-01,Finance,Internal Auditor,0,0,0.09768278200388093,9.77,Thap,2,It tham nien - Khoi luong cong viec thap
104,2025-01-01,Human Resources,HR Manager,0,0,0.10895344601858908,10.9,Thap,3,Cap bac cao - thu nhap cao
109,2025-01-01,Information Technology,Software Engineer,0,0,0.1125406563183295,11.25,Thap,1,Khoi luong cong viec cao - uu tien giu chan
110,2025-01-01,Marketing,Content Specialist,0,1,0.16635406649576387,16.64,Trung binh,1,Khoi luong cong viec cao - uu tien giu chan
115,2025-01-01,Human Resources,C&B Specialist,0,0,0.08775338482686097,8.78,Thap,3,Cap bac cao - thu nhap cao
