MaNV,NgayThang,PhongBan,ChucDanh,Cluster,TargetNghiViec
1,2025-01-01,Sales,Sales Representative,1,0
3,2025-01-01,Finance,Finance Manager,1,0
4,2025-01-01,Human Resources,Recruiter,1,0
5,2025-01-01,Information Technology,IT Support,0,0
10,2025-01-01,Human Resources,C&B Specialist,0,1
13,2025-01-01,Sales,Sales Executive,3,1
21,2025-01-01,Human Resources,Recruiter,0,0
24,2025-01-01,Sales,Sales Representative,2,1
28,2025-01-01,Human Resources,C&B Specialist,2,1
29,2025-01-01,Human Resources,Recruiter,2,1
30,2025-01-01,Operations,Procurement Specialist,1,0
31,2025-01-01,Sales,Sales Supervisor,1,0
32,2025-01-01,Finance,Finance Manager,1,0
37,2025-01-01,Information Technology,QA Engineer,0,1
38,2025-01-01,Human Resources,HR Executive,1,0
39,2025-01-01,Human Resources,C&B Specialist,2,0
41,2025-01-01,Sales,Account Manager,2,1
43,2025-01-01,Marketing,Digital Marketing Specialist,1,0
44,2025-01-01,Marketing,Digital Marketing Specialist,1,0
48,2025-01-01,Information Technology,QA Engineer,1,0
54,2025-01-01,Marketing,Marketing Executive,2,0
60,2025-01-01,Finance,Internal Auditor,1,0
62,2025-01-01,Finance,Financial Analyst,1,0
63,2025-01-01,Information Technology,Data Analyst,1,0
64,2025-01-01,Marketing,Marketing Executive,2,0
65,2025-01-01,Finance,Internal Auditor,0,0
66,2025-01-01,Information Technology,IT Support,1,0
70,2025-01-01,Operations,Operations Executive,0,0
71,2025-01-01,Operations,Warehouse Supervisor,1,0
72,2025-01-01,Information Technology,IT Support,0,0
73,2025-01-01,Sales,Sales Representative,1,1
74,2025-01-01,Human Resources,Recruiter,1,1
76,2025-01-01,Sales,Sales Representative,2,0
78,2025-01-01,Human Resources,C&B Specialist,1,0
79,2025-01-01,Marketing,Digital Marketing Specialist,2,0
80,2025-01-01,Information Technology,Data Analyst,1,0
82,2025-01-01,Operations,Warehouse Supervisor,2,0
83,2025-01-01,Operations,Operations Executive,0,1
85,2025-01-01,Finance,Financial Analyst,1,0
88,2025-01-01,Operations,Warehouse Supervisor,0,0
91,2025-01-01,Sales,Sales Executive,2,1
92,2025-01-01,Operations,Operations Executive,2,1
95,2025-01-01,Finance,Financial Analyst,1,0
98,2025-01-01,Information Technology,IT Support,0,0
102,2025-01-01,Marketing,Digital Marketing Specialist,1,0
103,2025-01-01,Finance,Internal Auditor,1,0
104,2025-01-01,Human Resources,HR Manager,3,0
109,2025-01-01,Information Technology,Software Engineer,1,0
110,2025-01-01,Marketing,Content Specialist,1,0
115,2025-01-01,Human Resources,C&B Specialist,0,0
118,2025-01-01,Information Technology,Software Engineer,2,0
120,2025-01-01,Operations,Warehouse Supervisor,1,0
121,2025-01-01,Human Resources,HR Manager,1,1
125,2025-01-01,Finance,Internal Auditor,0,0
126,2025-01-01,Marketing,Marketing Executive,0,0
127,2025-01-01,Finance,Finance Manager,1,0
128,2025-01-01,Finance,Accountant,2,0
129,2025-01-01,Sales,Account Manager,0,0
