MaNV,NgayThang,Nam,PhongBan,ChucDanh,ThucTeNghiViec,XacSuatNghiViec,DuDoanNghiViec
1,2025-01-01,2025,Sales,Sales Representative,0,0.1545736409291684,0
3,2025-01-01,2025,Finance,Finance Manager,0,0.18604911214847344,1
4,2025-01-01,2025,Human Resources,Recruiter,0,0.13760972356212325,0
5,2025-01-01,2025,Information Technology,IT Support,0,0.05710722991593634,0
10,2025-01-01,2025,Human Resources,C&B Specialist,1,0.14685799186929419,0
13,2025-01-01,2025,Sales,Sales Executive,1,0.20440358950603363,1
21,2025-01-01,2025,Human Resources,Recruiter,0,0.18572915117883612,1
24,2025-01-01,2025,Sales,Sales Representative,1,0.16923226854160345,1
28,2025-01-01,2025,Human Resources,C&B Specialist,1,0.12209344212140172,0
29,2025-01-01,2025,Human Resources,Recruiter,1,0.15030374437598945,0
30,2025-01-01,2025,Operations,Procurement Specialist,0,0.13427459551552928,0
31,2025-01-01,2025,Sales,Sales Supervisor,0,0.1256917258238378,0
32,2025-01-01,2025,Finance,Finance Manager,0,0.055525011970672396,0
37,2025-01-01,2025,Information Technology,QA Engineer,1,0.27540043725020874,1
38,2025-01-01,2025,Human Resources,HR Executive,0,0.1255125400667606,0
39,2025-01-01,2025,Human Resources,C&B Specialist,0,0.0930082897226368,0
41,2025-01-01,2025,Sales,Account Manager,1,0.19737971734642937,1
43,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.10362190793413174,0
44,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.017123484095857643,0
48,2025-01-01,2025,Information Technology,QA Engineer,0,0.25671583954621585,1
54,2025-01-01,2025,Marketing,Marketing Executive,0,0.07099111418182769,0
60,2025-01-01,2025,Finance,Internal Auditor,0,0.06290271175218903,0
62,2025-01-01,2025,Finance,Financial Analyst,0,0.1338452183665253,0
63,2025-01-01,2025,Information Technology,Data Analyst,0,0.04246118740253329,0
64,2025-01-01,2025,Marketing,Marketing Executive,0,0.15190431704828147,0
65,2025-01-01,2025,Finance,Internal Auditor,0,0.22022324966083034,1
66,2025-01-01,2025,Information Technology,IT Support,0,0.1586120184832431,1
70,2025-01-01,2025,Operations,Operations Executive,0,0.09220078259614307,0
71,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.17355715966386134,1
72,2025-01-01,2025,Information Technology,IT Support,0,0.11223323674302091,0
73,2025-01-01,2025,Sales,Sales Representative,1,0.21535025182512887,1
74,2025-01-01,2025,Human Resources,Recruiter,1,0.0820373366649993,0
76,2025-01-01,2025,Sales,Sales Representative,0,0.06144535459442688,0
78,2025-01-01,2025,Human Resources,C&B Specialist,0,0.09429366308125357,0
79,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.12216753767620173,0
80,2025-01-01,2025,Information Technology,Data Analyst,0,0.11930130719768381,0
82,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.16711366089530064,1
83,2025-01-01,2025,Operations,Operations Executive,1,0.2380313928657342,1
85,2025-01-01,2025,Finance,Financial Analyst,0,0.3324934612941193,1
88,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.13629695445108406,0
91,2025-01-01,2025,Sales,Sales Executive,1,0.1031082835286341,0
92,2025-01-01,2025,Operations,Operations Executive,1,0.28544906909994394,1
95,2025-01-01,2025,Finance,Financial Analyst,0,0.10075108791893762,0
98,2025-01-01,2025,Information Technology,IT Support,0,0.14581664517698312,0
102,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.266097764530636,1
103,2025-01-01,2025,Finance,Internal Auditor,0,0.08033702210687695,0
104,2025-01-01,2025,Human Resources,HR Manager,0,0.10287215802360228,0
109,2025-01-01,2025,Information Technology,Software Engineer,0,0.20735121493906783,1
110,2025-01-01,2025,Marketing,Content Specialist,0,0.1719146729677221,1
115,2025-01-01,2025,Human Resources,C&B Specialist,0,0.08488387126623348,0
118,2025-01-01,2025,Information Technology,Software Engineer,0,0.3100833026253181,1
120,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.1362942163559551,0
121,2025-01-01,2025,Human Resources,HR Manager,1,0.07914370699813622,0
125,2025-01-01,2025,Finance,Internal Auditor,0,0.2883557394903954,1
126,2025-01-01,2025,Marketing,Marketing Executive,0,0.13434126502039803,0
127,2025-01-01,2025,Finance,Finance Manager,0,0.12453904451253316,0
128,2025-01-01,2025,Finance,Accountant,0,0.1517982828300002,0
129,2025-01-01,2025,Sales,Account Manager,0,0.0512855100019914,0
130,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.07748632160968827,0
131,2025-01-01,2025,Sales,Sales Executive,0,0.07523961042713724,0
136,2025-01-01,2025,Sales,Sales Executive,0,0.0810653725651098,0
138,2025-01-01,2025,Sales,Sales Executive,0,0.06976037300795564,0
139,2025-01-01,2025,Sales,Sales Representative,0,0.05666452349798871,0
140,2025-01-01,2025,Human Resources,HR Executive,0,0.10739232673781508,0
143,2025-01-01,2025,Operations,Procurement Specialist,0,0.07482631207003988,0
146,2025-01-01,2025,Finance,Internal Auditor,0,0.1940629209377861,1
149,2025-01-01,2025,Human Resources,Recruiter,0,0.09571740720703562,0
151,2025-01-01,2025,Information Technology,Software Engineer,0,0.03671034471227313,0
152,2025-01-01,2025,Human Resources,HR Manager,0,0.09754560867733435,0
153,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.2713198708794668,1
158,2025-01-01,2025,Information Technology,Data Analyst,0,0.125131138513786,0
161,2025-01-01,2025,Sales,Sales Representative,1,0.11738802356184928,0
162,2025-01-01,2025,Marketing,Content Specialist,0,0.12578383051681447,0
166,2025-01-01,2025,Information Technology,QA Engineer,0,0.19561481714724493,1
167,2025-01-01,2025,Marketing,Digital Marketing Specialist,1,0.08837314901847411,0
170,2025-01-01,2025,Operations,Procurement Specialist,0,0.059773956560080894,0
171,2025-01-01,2025,Sales,Sales Representative,0,0.15316747064704306,0
175,2025-01-01,2025,Information Technology,Data Analyst,0,0.1005117971802537,0
176,2025-01-01,2025,Information Technology,Software Engineer,0,0.15962290599411455,1
178,2025-01-01,2025,Sales,Sales Supervisor,0,0.10327773641232817,0
180,2025-01-01,2025,Marketing,Marketing Manager,0,0.05474861399982612,0
181,2025-01-01,2025,Information Technology,IT Support,0,0.05656292801422688,0
182,2025-01-01,2025,Sales,Sales Supervisor,0,0.16687061870286635,1
184,2025-01-01,2025,Marketing,Content Specialist,0,0.07573131938865178,0
185,2025-01-01,2025,Marketing,Content Specialist,0,0.1527537371426937,0
187,2025-01-01,2025,Finance,Accountant,0,0.08220473518409331,0
189,2025-01-01,2025,Finance,Financial Analyst,0,0.10786088259142917,0
190,2025-01-01,2025,Sales,Sales Representative,0,0.17180605747565625,1
192,2025-01-01,2025,Operations,Procurement Specialist,0,0.2550379641493761,1
193,2025-01-01,2025,Information Technology,Data Analyst,0,0.08518886722019106,0
194,2025-01-01,2025,Finance,Financial Analyst,0,0.11949044332387866,0
195,2025-01-01,2025,Information Technology,QA Engineer,0,0.13451553788580586,0
198,2025-01-01,2025,Finance,Finance Manager,0,0.15514737481151025,0
199,2025-01-01,2025,Information Technology,IT Support,0,0.05854599560758064,0
200,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.09406260348972738,0
201,2025-01-01,2025,Information Technology,IT Support,0,0.1501188863819377,0
205,2025-01-01,2025,Operations,Operations Manager,0,0.1515451099610469,0
206,2025-01-01,2025,Information Technology,QA Engineer,0,0.05699749590878335,0
210,2025-01-01,2025,Sales,Sales Executive,0,0.043514486079668534,0
211,2025-01-01,2025,Finance,Financial Analyst,0,0.07175635821847695,0
213,2025-01-01,2025,Sales,Sales Supervisor,0,0.169507244464837,1
216,2025-01-01,2025,Operations,Operations Executive,0,0.18129453606975796,1
218,2025-01-01,2025,Information Technology,IT Support,0,0.21142783419307132,1
219,2025-01-01,2025,Finance,Internal Auditor,0,0.25097744451174553,1
222,2025-01-01,2025,Sales,Sales Executive,0,0.08998874405394676,0
223,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.16126311128636953,1
224,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.2599446925117231,1
228,2025-01-01,2025,Information Technology,Data Analyst,0,0.11436266958636034,0
229,2025-01-01,2025,Human Resources,C&B Specialist,0,0.10716626548165636,0
233,2025-01-01,2025,Sales,Account Manager,0,0.15465542686280545,0
234,2025-01-01,2025,Finance,Accountant,0,0.18483436051422017,1
236,2025-01-01,2025,Marketing,Content Specialist,0,0.07640638403256882,0
237,2025-01-01,2025,Operations,Operations Manager,1,0.3953033629681416,1
238,2025-01-01,2025,Human Resources,HR Manager,0,0.14335678806814095,0
241,2025-01-01,2025,Finance,Internal Auditor,0,0.200616528450602,1
244,2025-01-01,2025,Marketing,Marketing Executive,1,0.1981341312824763,1
245,2025-01-01,2025,Finance,Finance Manager,0,0.08807322399348322,0
249,2025-01-01,2025,Marketing,Marketing Executive,0,0.08524646499316577,0
250,2025-01-01,2025,Marketing,Marketing Executive,1,0.18740647502145075,1
252,2025-01-01,2025,Information Technology,Data Analyst,0,0.11434816694270306,0
253,2025-01-01,2025,Sales,Sales Representative,0,0.1546001266503117,0
255,2025-01-01,2025,Sales,Sales Executive,1,0.18257878939701042,1
257,2025-01-01,2025,Sales,Sales Executive,0,0.06840432513568429,0
259,2025-01-01,2025,Sales,Sales Representative,0,0.15420022466871533,0
262,2025-01-01,2025,Operations,Operations Manager,1,0.05974839842762148,0
268,2025-01-01,2025,Information Technology,QA Engineer,0,0.14102184993861838,0
272,2025-01-01,2025,Sales,Account Manager,0,0.17215405075455337,1
273,2025-01-01,2025,Human Resources,Recruiter,0,0.08184243935014164,0
275,2025-01-01,2025,Information Technology,IT Support,0,0.05955091222018435,0
277,2025-01-01,2025,Operations,Operations Manager,0,0.17595861038978994,1
278,2025-01-01,2025,Marketing,Marketing Manager,0,0.05648554780929009,0
282,2025-01-01,2025,Marketing,Marketing Manager,0,0.14581741181421384,0
284,2025-01-01,2025,Finance,Finance Manager,0,0.14603874182386117,0
285,2025-01-01,2025,Finance,Financial Analyst,0,0.21013128297534595,1
286,2025-01-01,2025,Sales,Account Manager,0,0.1198768643552975,0
288,2025-01-01,2025,Sales,Sales Executive,0,0.1017514978667113,0
289,2025-01-01,2025,Human Resources,Recruiter,0,0.10304995608776857,0
290,2025-01-01,2025,Information Technology,QA Engineer,1,0.299625426407798,1
296,2025-01-01,2025,Finance,Financial Analyst,0,0.05846647278091635,0
298,2025-01-01,2025,Human Resources,HR Manager,0,0.20100843342055313,1
299,2025-01-01,2025,Marketing,Marketing Manager,0,0.08851873688226028,0
302,2025-01-01,2025,Operations,Operations Manager,1,0.2646906362453023,1
304,2025-01-01,2025,Information Technology,Data Analyst,0,0.1596737263916598,1
309,2025-01-01,2025,Operations,Operations Executive,1,0.25421269576200456,1
310,2025-01-01,2025,Marketing,Content Specialist,0,0.22519269761995944,1
311,2025-01-01,2025,Marketing,Marketing Manager,0,0.13899254078958329,0
314,2025-01-01,2025,Human Resources,Recruiter,0,0.11123377934942397,0
321,2025-01-01,2025,Information Technology,System Administrator,0,0.05630422579880963,0
323,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.26450004582209796,1
330,2025-01-01,2025,Information Technology,System Administrator,0,0.0699120319684563,0
331,2025-01-01,2025,Marketing,Marketing Executive,0,0.2392743978808416,1
332,2025-01-01,2025,Operations,Operations Manager,0,0.09687252219812136,0
335,2025-01-01,2025,Information Technology,Data Analyst,0,0.15145103899024182,0
338,2025-01-01,2025,Marketing,Marketing Manager,0,0.12418227482365096,0
339,2025-01-01,2025,Finance,Finance Manager,0,0.16086547706420212,1
341,2025-01-01,2025,Information Technology,Data Analyst,0,0.058193217345020226,0
346,2025-01-01,2025,Sales,Sales Supervisor,0,0.18570364153935562,1
347,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.016496061243408938,0
351,2025-01-01,2025,Finance,Financial Analyst,0,0.2209175260457389,1
353,2025-01-01,2025,Sales,Sales Executive,0,0.058083057098584814,0
354,2025-01-01,2025,Sales,Sales Representative,0,0.06371978481451826,0
356,2025-01-01,2025,Information Technology,Data Analyst,0,0.06624761775968857,0
365,2025-01-01,2025,Information Technology,Software Engineer,0,0.1246800832679166,0
366,2025-01-01,2025,Operations,Operations Executive,0,0.1402214250494802,0
367,2025-01-01,2025,Marketing,Content Specialist,0,0.17579490860346497,1
368,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.09181992730887463,0
