K,Weights,P,ROC_AUC,PR_AUC
101,distance,1,0.6867705437190562,0.2963367740615744
121,distance,1,0.6911008192212195,0.2957864506599952
91,distance,1,0.6879975583606324,0.29425377294994637
151,distance,1,0.6935213957322524,0.2932242581294913
81,distance,1,0.68631335583342,0.2929279921155241
101,uniform,1,0.6861845007111812,0.29062554947753483
121,uniform,1,0.6911152741227526,0.29054715671944764
71,distance,1,0.6813162963733892,0.28940266372014384
91,uniform,1,0.6881214575166313,0.28858000014707264
151,uniform,1,0.6932190817916148,0.2878630891215483
81,uniform,1,0.686668326915357,0.2866830184460272
61,distance,1,0.6800698708640397,0.284533265979233
51,distance,1,0.6774318513342288,0.2836036791807191
71,uniform,1,0.6811806267975702,0.282233987278649
151,distance,2,0.6835442096968435,0.27788905944518055
61,uniform,1,0.6799399832488341,0.2776108092746834
41,distance,1,0.6748574333711639,0.27695162114944416
121,distance,2,0.6799556771419274,0.27655776911725266
81,distance,2,0.6769403846820995,0.2764874931814493
51,uniform,1,0.6777335457790862,0.27633700466709943
101,distance,2,0.6774702600725884,0.27338773624265417
151,uniform,2,0.6830508845573744,0.27337498264643767
71,distance,2,0.6730293013243993,0.2732760314792481
61,distance,2,0.6734811202466089,0.2729717492729818
91,distance,2,0.6761313231934265,0.2724640774449786
121,uniform,2,0.6793617871875057,0.27094620830817984
81,uniform,2,0.6763444297417446,0.27007787429942987
41,distance,2,0.6681326001807275,0.2695862691222318
41,uniform,1,0.6767039437927348,0.2687193010071408
51,distance,2,0.6734001727980229,0.268675244374944
101,uniform,2,0.6766132909102623,0.2686209342463775
71,uniform,2,0.6723945246484981,0.2670239476838119
91,uniform,2,0.6753577794628063,0.26680100300759463
61,uniform,2,0.6736405371606607,0.2656892703126468
31,distance,1,0.6593987421757683,0.2631189326404605
31,distance,2,0.6627630172583264,0.2630705274870019
51,uniform,2,0.6739971602313444,0.26135709876601654
41,uniform,2,0.6687682028510022,0.261313393084762
31,uniform,2,0.6638266915125773,0.25413524794066766
31,uniform,1,0.6608652951856092,0.25185478106668086
21,distance,2,0.6443445817247093,0.24841347891903343
21,distance,1,0.6454419152496733,0.24286203663187966
15,distance,1,0.6317727408640892,0.23671007485034123
21,uniform,2,0.6464768861994512,0.23635873817520534
15,distance,2,0.6281563309990733,0.2353052528766158
21,uniform,1,0.6464812226699111,0.23188883675042055
15,uniform,1,0.6346913919822378,0.22450856819970588
11,distance,2,0.6125053896132859,0.2231991467210757
11,distance,1,0.6164614896643325,0.2220426916253641
15,uniform,2,0.6289534155693332,0.22201944357667436
9,distance,2,0.6070563047324521,0.22013638425695506
9,distance,1,0.6058749262800023,0.21200021592513085
11,uniform,1,0.6172315229188658,0.2098006980337765
7,distance,2,0.6020259989988948,0.20973579789442895
11,uniform,2,0.6099646309209341,0.20961677943766482
9,uniform,2,0.6058534504262956,0.2064848955415303
5,distance,2,0.5915053086658373,0.20395513277355742
7,distance,1,0.597638729884972,0.20256872334000525
9,uniform,1,0.6042727036943424,0.20018683859944408
7,uniform,2,0.6007134939396792,0.19829996877109343
5,uniform,2,0.5879613798070806,0.19390102240169896
5,distance,1,0.5892336176405968,0.19343523535618112
7,uniform,1,0.5951190340491401,0.19178611746823856
5,uniform,1,0.5871178330533213,0.18512333304567674
3,distance,2,0.5785060157170209,0.18255446512711224
3,uniform,2,0.5798160427931165,0.18192144053654377
3,distance,1,0.568675030685691,0.18171493789293008
3,uniform,1,0.5674684594048546,0.1759709388716138
