MaNV,NgayThang,Nam,PhongBan,ChucDanh,ThucTeNghiViec,XacSuatNghiViec,DuDoanNghiViec,NguongDuDoan,MucRuiRo,ThuTuRuiRo,DiemNguyCo,LaRuiRoCao,LaRuiRoTrungBinh,LaRuiRoThap,XepHangNguyCo,PhanViNguyCo
1,2025-01-01,2025,Sales,Sales Representative,0,0.16167629373915002,0,0.16908819344089202,Trung bình,2,16.17,0,1,0,1591,64.12
3,2025-01-01,2025,Finance,Finance Manager,0,0.23431505974563624,1,0.16908819344089202,Cao,3,23.43,1,0,0,787,82.26
4,2025-01-01,2025,Human Resources,Recruiter,0,0.12785989304771342,0,0.16908819344089202,Trung bình,2,12.79,0,1,0,2280,48.57
5,2025-01-01,2025,Information Technology,IT Support,0,0.13005450589932777,0,0.16908819344089202,Trung bình,2,13.01,0,1,0,2243,49.4
10,2025-01-01,2025,Human Resources,C&B Specialist,1,0.14557161551723388,0,0.16908819344089202,Trung bình,2,14.56,0,1,0,1871,57.8
13,2025-01-01,2025,Sales,Sales Executive,1,0.30830178177603834,1,0.16908819344089202,Cao,3,30.83,1,0,0,300,93.25
21,2025-01-01,2025,Human Resources,Recruiter,0,0.30535020349251324,1,0.16908819344089202,Cao,3,30.54,1,0,0,313,92.96
24,2025-01-01,2025,Sales,Sales Representative,1,0.18964489694514755,1,0.16908819344089202,Cao,3,18.96,1,0,0,1233,72.2
28,2025-01-01,2025,Human Resources,C&B Specialist,1,0.1170517718176499,0,0.16908819344089202,Trung bình,2,11.71,0,1,0,2535,42.81
29,2025-01-01,2025,Human Resources,Recruiter,1,0.13494846707436042,0,0.16908819344089202,Trung bình,2,13.49,0,1,0,2115,52.29
30,2025-01-01,2025,Operations,Procurement Specialist,0,0.1547614823657908,0,0.16908819344089202,Trung bình,2,15.48,0,1,0,1700,61.66
31,2025-01-01,2025,Sales,Sales Supervisor,0,0.13051234546237417,0,0.16908819344089202,Trung bình,2,13.05,0,1,0,2235,49.58
32,2025-01-01,2025,Finance,Finance Manager,0,0.07483862673271797,0,0.16908819344089202,Thấp,1,7.48,0,0,1,3825,13.7
37,2025-01-01,2025,Information Technology,QA Engineer,1,0.2552270079944629,1,0.16908819344089202,Cao,3,25.52,1,0,0,607,86.32
38,2025-01-01,2025,Human Resources,HR Executive,0,0.1274171197917677,0,0.16908819344089202,Trung bình,2,12.74,0,1,0,2293,48.27
39,2025-01-01,2025,Human Resources,C&B Specialist,0,0.10267188952310713,0,0.16908819344089202,Trung bình,2,10.27,0,1,0,2927,33.97
41,2025-01-01,2025,Sales,Account Manager,1,0.2897680780235251,1,0.16908819344089202,Cao,3,28.98,1,0,0,373,91.6
43,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.2091957708735387,1,0.16908819344089202,Cao,3,20.92,1,0,0,1044,76.46
44,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.062166911748166576,0,0.16908819344089202,Thấp,1,6.22,0,0,1,4240,4.33
48,2025-01-01,2025,Information Technology,QA Engineer,0,0.19207058749787034,1,0.16908819344089202,Cao,3,19.21,1,0,0,1206,72.81
54,2025-01-01,2025,Marketing,Marketing Executive,0,0.05722495018543241,0,0.16908819344089202,Thấp,1,5.72,0,0,1,4360,1.62
60,2025-01-01,2025,Finance,Internal Auditor,0,0.06324353969986705,0,0.16908819344089202,Thấp,1,6.32,0,0,1,4206,5.1
62,2025-01-01,2025,Finance,Financial Analyst,0,0.15265282614758754,0,0.16908819344089202,Trung bình,2,15.27,0,1,0,1739,60.78
63,2025-01-01,2025,Information Technology,Data Analyst,0,0.060172118770976134,0,0.16908819344089202,Thấp,1,6.02,0,0,1,4294,3.11
64,2025-01-01,2025,Marketing,Marketing Executive,0,0.09197510713156622,0,0.16908819344089202,Thấp,1,9.2,0,0,1,3198,27.85
65,2025-01-01,2025,Finance,Internal Auditor,0,0.27476469991849745,1,0.16908819344089202,Cao,3,27.48,1,0,0,466,89.51
66,2025-01-01,2025,Information Technology,IT Support,0,0.1412523326807182,0,0.16908819344089202,Trung bình,2,14.13,0,1,0,1954,55.92
70,2025-01-01,2025,Operations,Operations Executive,0,0.07327152815029074,0,0.16908819344089202,Thấp,1,7.33,0,0,1,3895,12.12
71,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.15981178010496055,0,0.16908819344089202,Trung bình,2,15.98,0,1,0,1623,63.39
72,2025-01-01,2025,Information Technology,IT Support,0,0.1648596977182205,0,0.16908819344089202,Trung bình,2,16.49,0,1,0,1546,65.13
73,2025-01-01,2025,Sales,Sales Representative,1,0.3574730636837862,1,0.16908819344089202,Cao,3,35.75,1,0,0,139,96.89
74,2025-01-01,2025,Human Resources,Recruiter,1,0.07380175023122522,0,0.16908819344089202,Thấp,1,7.38,0,0,1,3874,12.59
76,2025-01-01,2025,Sales,Sales Representative,0,0.12387235158182608,0,0.16908819344089202,Trung bình,2,12.39,0,1,0,2364,46.67
78,2025-01-01,2025,Human Resources,C&B Specialist,0,0.1674621301433847,0,0.16908819344089202,Trung bình,2,16.75,0,1,0,1511,65.92
79,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.1757998418778965,1,0.16908819344089202,Cao,3,17.58,1,0,0,1395,68.54
80,2025-01-01,2025,Information Technology,Data Analyst,0,0.08979134980166507,0,0.16908819344089202,Thấp,1,8.98,0,0,1,3272,26.18
82,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.1604356129528209,0,0.16908819344089202,Trung bình,2,16.04,0,1,0,1612,63.64
83,2025-01-01,2025,Operations,Operations Executive,1,0.22455881896448546,1,0.16908819344089202,Cao,3,22.46,1,0,0,871,80.37
85,2025-01-01,2025,Finance,Financial Analyst,0,0.3107656055554474,1,0.16908819344089202,Cao,3,31.08,1,0,0,293,93.41
88,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.1556672706414897,0,0.16908819344089202,Trung bình,2,15.57,0,1,0,1689,61.9
91,2025-01-01,2025,Sales,Sales Executive,1,0.07903471406966328,0,0.16908819344089202,Thấp,1,7.9,0,0,1,3666,17.29
92,2025-01-01,2025,Operations,Operations Executive,1,0.397644330894956,1,0.16908819344089202,Cao,3,39.76,1,0,0,60,98.67
95,2025-01-01,2025,Finance,Financial Analyst,0,0.10217567160348587,0,0.16908819344089202,Trung bình,2,10.22,0,1,0,2945,33.56
98,2025-01-01,2025,Information Technology,IT Support,0,0.13848755206643282,0,0.16908819344089202,Trung bình,2,13.85,0,1,0,2021,54.41
102,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.2766637905685632,1,0.16908819344089202,Cao,3,27.67,1,0,0,452,89.82
103,2025-01-01,2025,Finance,Internal Auditor,0,0.08273037899928842,0,0.16908819344089202,Thấp,1,8.27,0,0,1,3495,21.15
104,2025-01-01,2025,Human Resources,HR Manager,0,0.07251866142339572,0,0.16908819344089202,Thấp,1,7.25,0,0,1,3914,11.69
109,2025-01-01,2025,Information Technology,Software Engineer,0,0.2376618680041319,1,0.16908819344089202,Cao,3,23.77,1,0,0,755,82.98
110,2025-01-01,2025,Marketing,Content Specialist,0,0.18421061104959988,1,0.16908819344089202,Cao,3,18.42,1,0,0,1288,70.95
115,2025-01-01,2025,Human Resources,C&B Specialist,0,0.07470113109377154,0,0.16908819344089202,Thấp,1,7.47,0,0,1,3831,13.56
118,2025-01-01,2025,Information Technology,Software Engineer,0,0.36405326710711744,1,0.16908819344089202,Cao,3,36.41,1,0,0,123,97.25
120,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.13055690387893856,0,0.16908819344089202,Trung bình,2,13.06,0,1,0,2233,49.63
121,2025-01-01,2025,Human Resources,HR Manager,1,0.07156335673548034,0,0.16908819344089202,Thấp,1,7.16,0,0,1,3944,11.01
125,2025-01-01,2025,Finance,Internal Auditor,0,0.3434356517782972,1,0.16908819344089202,Cao,3,34.34,1,0,0,176,96.05
126,2025-01-01,2025,Marketing,Marketing Executive,0,0.18083218366580187,1,0.16908819344089202,Cao,3,18.08,1,0,0,1325,70.12
127,2025-01-01,2025,Finance,Finance Manager,0,0.1355156573498931,0,0.16908819344089202,Trung bình,2,13.55,0,1,0,2099,52.65
128,2025-01-01,2025,Finance,Accountant,0,0.22221890515721113,1,0.16908819344089202,Cao,3,22.22,1,0,0,897,79.78
129,2025-01-01,2025,Sales,Account Manager,0,0.07052129536185345,0,0.16908819344089202,Thấp,1,7.05,0,0,1,3982,10.16
130,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.12694455190487375,0,0.16908819344089202,Trung bình,2,12.69,0,1,0,2300,48.12
131,2025-01-01,2025,Sales,Sales Executive,0,0.08993573721166498,0,0.16908819344089202,Thấp,1,8.99,0,0,1,3269,26.25
136,2025-01-01,2025,Sales,Sales Executive,0,0.07885154194571378,0,0.16908819344089202,Thấp,1,7.89,0,0,1,3673,17.13
138,2025-01-01,2025,Sales,Sales Executive,0,0.08214191115398775,0,0.16908819344089202,Thấp,1,8.21,0,0,1,3521,20.56
139,2025-01-01,2025,Sales,Sales Representative,0,0.10157809839651992,0,0.16908819344089202,Trung bình,2,10.16,0,1,0,2960,33.22
