Feature,Importance
LamThemGio,0.248812350973056
SoGioTrungBinhThang,0.223757622742691
DiemHaiLongCongViec,0.12843160537580606
DiemHaiLongMoiTruong,0.06499337826012601
ThuNhapThang,0.05355127069953461
SoLuongDuAn,0.046873493579754705
KhoangCachTuNha,0.041112867825053814
SoNamTuLanThangChucCuoi,0.03949188534687977
Tuoi,0.03718445076284632
SoNamTaiCongTy,0.03133246096267311
CapBacCongViec,0.012477208184451045
DiemDanhGiaHieuSuat,0.011984003972240361
PhongBan_Operations,0.005728675842978833
PhongBan_Marketing,0.004484379101810946
PhongBan_Sales,0.00367035888464269
PhongBan_Human Resources,0.0032475247070833458
PhongBan_Information Technology,0.003180890411688134
PhongBan_Finance,0.003118218662805267
ChucDanh_QA Engineer,0.002544059306665217
ChucDanh_Warehouse Supervisor,0.0022352223449359555
DuocThangChucNamTruoc,0.0021578235304904408
ChucDanh_Content Specialist,0.002019180033746539
ChucDanh_Procurement Specialist,0.001788310642338498
ChucDanh_Financial Analyst,0.0016927426296875518
ChucDanh_Recruiter,0.001589366226299945
ChucDanh_Internal Auditor,0.0014738782722405945
ChucDanh_Account Manager,0.0014382599225324624
ChucDanh_HR Manager,0.001394368608412849
ChucDanh_Digital Marketing Specialist,0.001385362062608903
ChucDanh_Operations Executive,0.001306148111835372
ChucDanh_Marketing Executive,0.0012696656819566304
ChucDanh_C&B Specialist,0.001264049698317652
ChucDanh_Sales Representative,0.001234699358898282
ChucDanh_Sales Supervisor,0.0012033766325161084
ChucDanh_Software Engineer,0.0011789163840272253
ChucDanh_Marketing Manager,0.0011788230045495461
ChucDanh_Sales Executive,0.001153799889993447
ChucDanh_Accountant,0.0011444509483750278
ChucDanh_Operations Manager,0.0010284049745656147
ChucDanh_HR Executive,0.001010816633353912
ChucDanh_Data Analyst,0.001002763144184495
ChucDanh_IT Support,0.0009889568990288596
ChucDanh_System Administrator,0.0009658439616622085
ChucDanh_Finance Manager,0.0009180648006545499
