MaNV,NgayThang,Nam,PhongBan,ChucDanh,CapBacCongViec,Tuoi,KhoangCachTuNha,SoLuongDuAn,SoGioTrungBinhThang,LamThemGio,DiemDanhGiaHieuSuat,DiemHaiLongCongViec,DiemHaiLongMoiTruong,ThuNhapThang,SoNamTaiCongTy,SoNamTuLanThangChucCuoi,DuocThangChucNamTruoc,ThucTeNghiViec,XacSuatNghiViec,DiemNguyCo,DuDoanNghiViec,NguongDuDoan,MucRuiRo,ThuTuRuiRo,LaRuiRoCao,XepHangNguyCo,PhanViNguyCo,MoHinh,PhienBanMoHinh
1,2025-01-01,2025,Sales,Sales Representative,1,55,35,4,171,False,4,2,1,10148000,4,4,False,0,0.16167629373915002,16.17,0,0.16908819344089202,Trung bình,2,0,1591,64.12,Random Forest,RF_2025_V1
3,2025-01-01,2025,Finance,Finance Manager,1,49,16,1,223,True,3,4,4,10925000,5,5,False,0,0.23431505974563624,23.43,1,0.16908819344089202,Cao,3,1,787,82.26,Random Forest,RF_2025_V1
4,2025-01-01,2025,Human Resources,Recruiter,1,52,6,4,194,True,4,4,3,12565000,1,1,False,0,0.12785989304771342,12.79,0,0.16908819344089202,Trung bình,2,0,2280,48.57,Random Forest,RF_2025_V1
5,2025-01-01,2025,Information Technology,IT Support,4,48,15,1,198,True,4,3,4,39627000,14,1,False,0,0.13005450589932777,13.01,0,0.16908819344089202,Trung bình,2,0,2243,49.4,Random Forest,RF_2025_V1
10,2025-01-01,2025,Human Resources,C&B Specialist,4,45,35,4,192,False,3,2,3,50395000,11,5,False,1,0.14557161551723388,14.56,0,0.16908819344089202,Trung bình,2,0,1871,57.8,Random Forest,RF_2025_V1
13,2025-01-01,2025,Sales,Sales Executive,3,33,35,5,211,True,3,2,1,21133000,11,0,True,1,0.30830178177603834,30.83,1,0.16908819344089202,Cao,3,1,300,93.25,Random Forest,RF_2025_V1
21,2025-01-01,2025,Human Resources,Recruiter,4,39,32,4,226,True,3,4,1,67023000,5,5,False,0,0.30535020349251324,30.54,1,0.16908819344089202,Cao,3,1,313,92.96,Random Forest,RF_2025_V1
24,2025-01-01,2025,Sales,Sales Representative,2,44,12,6,190,False,2,2,2,27225000,10,10,False,1,0.18964489694514755,18.96,1,0.16908819344089202,Cao,3,1,1233,72.2,Random Forest,RF_2025_V1
28,2025-01-01,2025,Human Resources,C&B Specialist,2,43,7,1,155,False,2,3,2,24226000,6,6,False,1,0.1170517718176499,11.71,0,0.16908819344089202,Trung bình,2,0,2535,42.81,Random Forest,RF_2025_V1
29,2025-01-01,2025,Human Resources,Recruiter,1,50,10,3,160,False,3,2,3,13274000,11,11,False,1,0.13494846707436042,13.49,0,0.16908819344089202,Trung bình,2,0,2115,52.29,Random Forest,RF_2025_V1
30,2025-01-01,2025,Operations,Procurement Specialist,1,30,16,1,189,True,3,4,3,8308000,1,1,False,0,0.1547614823657908,15.48,0,0.16908819344089202,Trung bình,2,0,1700,61.66,Random Forest,RF_2025_V1
31,2025-01-01,2025,Sales,Sales Supervisor,2,31,38,2,203,True,3,3,4,18028000,1,1,False,0,0.13051234546237417,13.05,0,0.16908819344089202,Trung bình,2,0,2235,49.58,Random Forest,RF_2025_V1
32,2025-01-01,2025,Finance,Finance Manager,2,36,3,1,144,False,4,4,3,28173000,6,6,False,0,0.07483862673271797,7.48,0,0.16908819344089202,Thấp,1,0,3825,13.7,Random Forest,RF_2025_V1
37,2025-01-01,2025,Information Technology,QA Engineer,5,43,2,8,218,True,4,1,3,57408000,2,1,False,1,0.2552270079944629,25.52,1,0.16908819344089202,Cao,3,1,607,86.32,Random Forest,RF_2025_V1
38,2025-01-01,2025,Human Resources,HR Executive,3,29,19,2,206,False,4,1,4,24691000,1,1,False,0,0.1274171197917677,12.74,0,0.16908819344089202,Trung bình,2,0,2293,48.27,Random Forest,RF_2025_V1
39,2025-01-01,2025,Human Resources,C&B Specialist,1,45,11,2,173,False,2,4,3,17839000,14,14,False,0,0.10267188952310713,10.27,0,0.16908819344089202,Trung bình,2,0,2927,33.97,Random Forest,RF_2025_V1
41,2025-01-01,2025,Sales,Account Manager,2,51,23,6,236,True,5,4,4,26627000,10,10,False,1,0.2897680780235251,28.98,1,0.16908819344089202,Cao,3,1,373,91.6,Random Forest,RF_2025_V1
43,2025-01-01,2025,Marketing,Digital Marketing Specialist,1,25,32,2,228,True,4,4,4,11762000,4,4,False,0,0.2091957708735387,20.92,1,0.16908819344089202,Cao,3,1,1044,76.46,Random Forest,RF_2025_V1
44,2025-01-01,2025,Marketing,Digital Marketing Specialist,2,43,35,2,151,False,4,4,4,24138000,6,6,False,0,0.062166911748166576,6.22,0,0.16908819344089202,Thấp,1,0,4240,4.33,Random Forest,RF_2025_V1
48,2025-01-01,2025,Information Technology,QA Engineer,3,42,19,4,217,False,4,1,2,25423000,1,1,False,0,0.19207058749787034,19.21,1,0.16908819344089202,Cao,3,1,1206,72.81,Random Forest,RF_2025_V1
54,2025-01-01,2025,Marketing,Marketing Executive,3,47,38,4,171,False,2,4,3,39538000,9,9,False,0,0.05722495018543241,5.72,0,0.16908819344089202,Thấp,1,0,4360,1.62,Random Forest,RF_2025_V1
60,2025-01-01,2025,Finance,Internal Auditor,1,29,9,2,163,False,3,4,3,15300000,3,3,False,0,0.06324353969986705,6.32,0,0.16908819344089202,Thấp,1,0,4206,5.1,Random Forest,RF_2025_V1
62,2025-01-01,2025,Finance,Financial Analyst,1,25,26,3,219,True,3,4,4,11626000,2,2,False,0,0.15265282614758754,15.27,0,0.16908819344089202,Trung bình,2,0,1739,60.78,Random Forest,RF_2025_V1
63,2025-01-01,2025,Information Technology,Data Analyst,1,26,20,2,152,False,4,3,4,9977000,2,2,False,0,0.060172118770976134,6.02,0,0.16908819344089202,Thấp,1,0,4294,3.11,Random Forest,RF_2025_V1
64,2025-01-01,2025,Marketing,Marketing Executive,3,40,19,6,202,False,4,3,3,36239000,13,13,False,0,0.09197510713156622,9.2,0,0.16908819344089202,Thấp,1,0,3198,27.85,Random Forest,RF_2025_V1
65,2025-01-01,2025,Finance,Internal Auditor,4,33,6,4,201,True,2,1,1,47116000,8,1,False,0,0.27476469991849745,27.48,1,0.16908819344089202,Cao,3,1,466,89.51,Random Forest,RF_2025_V1
66,2025-01-01,2025,Information Technology,IT Support,2,35,11,3,209,False,3,1,3,23690000,5,5,False,0,0.1412523326807182,14.13,0,0.16908819344089202,Trung bình,2,0,1954,55.92,Random Forest,RF_2025_V1
70,2025-01-01,2025,Operations,Operations Executive,5,48,25,2,136,False,4,4,3,66907000,7,3,False,0,0.07327152815029074,7.33,0,0.16908819344089202,Thấp,1,0,3895,12.12,Random Forest,RF_2025_V1
71,2025-01-01,2025,Operations,Warehouse Supervisor,1,28,9,2,151,False,3,1,1,8358000,1,1,False,0,0.15981178010496055,15.98,0,0.16908819344089202,Trung bình,2,0,1623,63.39,Random Forest,RF_2025_V1
72,2025-01-01,2025,Information Technology,IT Support,4,52,26,3,207,True,4,3,3,51948000,15,5,False,0,0.1648596977182205,16.49,0,0.16908819344089202,Trung bình,2,0,1546,65.13,Random Forest,RF_2025_V1
73,2025-01-01,2025,Sales,Sales Representative,1,45,21,3,232,True,4,2,1,9267000,1,1,False,1,0.3574730636837862,35.75,1,0.16908819344089202,Cao,3,1,139,96.89,Random Forest,RF_2025_V1
74,2025-01-01,2025,Human Resources,Recruiter,2,30,40,4,192,False,5,3,2,21035000,3,3,False,1,0.07380175023122522,7.38,0,0.16908819344089202,Thấp,1,0,3874,12.59,Random Forest,RF_2025_V1
76,2025-01-01,2025,Sales,Sales Representative,2,49,31,1,173,False,3,4,2,19445000,14,14,False,0,0.12387235158182608,12.39,0,0.16908819344089202,Trung bình,2,0,2364,46.67,Random Forest,RF_2025_V1
78,2025-01-01,2025,Human Resources,C&B Specialist,1,27,7,3,206,True,3,3,3,15735000,5,5,False,0,0.1674621301433847,16.75,0,0.16908819344089202,Trung bình,2,0,1511,65.92,Random Forest,RF_2025_V1
79,2025-01-01,2025,Marketing,Digital Marketing Specialist,3,39,12,2,203,True,3,4,4,47729000,15,15,False,0,0.1757998418778965,17.58,1,0.16908819344089202,Cao,3,1,1395,68.54,Random Forest,RF_2025_V1
80,2025-01-01,2025,Information Technology,Data Analyst,1,25,27,2,182,False,3,2,3,11814000,3,3,False,0,0.08979134980166507,8.98,0,0.16908819344089202,Thấp,1,0,3272,26.18,Random Forest,RF_2025_V1
82,2025-01-01,2025,Operations,Warehouse Supervisor,2,50,39,3,198,False,3,1,4,25134000,14,14,False,0,0.1604356129528209,16.04,0,0.16908819344089202,Trung bình,2,0,1612,63.64,Random Forest,RF_2025_V1
