NEstimators,MaxDepth,MinSamplesLeaf,MaxFeatures,ClassWeight,ROC_AUC,PR_AUC
300,6,5,sqrt,None,0.7109407910713312,0.32699993966612506
300,6,5,sqrt,balanced,0.7110997949881965,0.3257789789931933
300,6,5,0.7,None,0.7089530356119214,0.3191397454415674
300,6,5,0.7,balanced,0.7071548458611899,0.3142232974944647
300,6,10,sqrt,None,0.7106723429000003,0.32446783027198023
300,6,10,sqrt,balanced,0.7104018297427357,0.32604841930408945
300,6,10,0.7,None,0.7078957628140635,0.3190935847049898
300,6,10,0.7,balanced,0.706844684974006,0.31570218739262185
300,6,20,sqrt,None,0.7108131749406523,0.32616456284576556
300,6,20,sqrt,balanced,0.7119150514346695,0.325501873447678
300,6,20,0.7,None,0.7086717845278039,0.3190962241381
300,6,20,0.7,balanced,0.7070641929787174,0.31670665927113956
300,10,5,sqrt,None,0.7097534241596746,0.3249688971964013
300,10,5,sqrt,balanced,0.7091896829998794,0.3190207224564662
300,10,5,0.7,None,0.7054694043424176,0.3231502470270312
300,10,5,0.7,balanced,0.6988482334458339,0.31372329869272925
300,10,10,sqrt,None,0.7113893060160473,0.3259951386105924
300,10,10,sqrt,balanced,0.7120360596103619,0.32450589064160656
300,10,10,0.7,None,0.7071494768977633,0.32083967466023805
300,10,10,0.7,balanced,0.7000289924025037,0.31249393800623004
300,10,20,sqrt,None,0.7114380396840737,0.32709265397147785
300,10,20,sqrt,balanced,0.7103105573644832,0.32527317455661753
300,10,20,0.7,None,0.7060310805162795,0.318920092027859
300,10,20,0.7,balanced,0.70125972401876,0.3129053545067641
300,14,5,sqrt,None,0.709385030669171,0.32499112737880764
300,14,5,sqrt,balanced,0.7082286385465142,0.32161172693605916
300,14,5,0.7,None,0.6995771734802942,0.31671897698053814
300,14,5,0.7,balanced,0.6951180428558921,0.31066846933490483
300,14,10,sqrt,None,0.7102626496908304,0.32226903898878745
300,14,10,sqrt,balanced,0.7112497129669553,0.32256501083182704
300,14,10,0.7,None,0.7017867084289422,0.31671810203963524
300,14,10,0.7,balanced,0.6953249544464104,0.31047222844022654
300,14,20,sqrt,None,0.7107475083879728,0.3264755871064836
300,14,20,sqrt,balanced,0.7115644168231926,0.3211210087199333
300,14,20,0.7,None,0.7049779376902884,0.31742472395159743
300,14,20,0.7,balanced,0.6998551205869186,0.3134379587562808
300,None,5,sqrt,None,0.7047644181447836,0.31896033151748904
300,None,5,sqrt,balanced,0.7053698720204318,0.3155034747238634
300,None,5,0.7,None,0.6969872681227296,0.3142254321181906
300,None,5,0.7,balanced,0.6873945824681043,0.30186653348814746
300,None,10,sqrt,None,0.7074567468046408,0.3242023516326952
300,None,10,sqrt,balanced,0.7084702419007123,0.316748416113081
300,None,10,0.7,None,0.7008244249840171,0.317117282632564
300,None,10,0.7,balanced,0.695837896952246,0.31440650055472247
300,None,20,sqrt,None,0.7115474839385394,0.3253319377377979
300,None,20,sqrt,balanced,0.7109052733132782,0.32485338030978317
300,None,20,0.7,None,0.7051315726437272,0.31822326693053726
300,None,20,0.7,balanced,0.7007265446507779,0.3133674672188113
